date, LordAro, _46, Taneb, bjs, icydoge, liamfraser, Speed`, sdhand, ddm, nitia, is_term_time
2014-02-11, 162, 103, 128, 0, 0, 3, 55, 0, 0, 0, 1
2014-02-12, 20, 36, 39, 0, 0, 13, 34, 0, 0, 0, 1
2014-02-13, 64, 153, 36, 0, 0, 1, 36, 0, 0, 0, 1
2014-02-14, 110, 45, 77, 0, 0, 90, 89, 0, 0, 0, 1
2014-02-15, 98, 48, 44, 0, 0, 49, 74, 0, 0, 0, 1
2014-02-16, 89, 47, 66, 0, 0, 24, 20, 0, 0, 0, 1
2014-02-17, 144, 125, 109, 0, 0, 66, 194, 0, 0, 0, 1
2014-02-18, 106, 77, 88, 0, 0, 4, 85, 0, 0, 0, 1
2014-02-19, 38, 87, 21, 0, 0, 18, 3, 0, 0, 0, 1
2014-02-20, 68, 87, 53, 0, 0, 35, 78, 0, 0, 0, 1
2014-02-21, 41, 77, 46, 0, 0, 0, 35, 0, 0, 0, 1
2014-02-22, 192, 92, 35, 0, 0, 48, 263, 0, 0, 0, 1
2014-02-23, 130, 82, 108, 0, 0, 2, 10, 0, 0, 0, 1
2014-02-24, 213, 194, 92, 0, 0, 83, 136, 0, 0, 0, 1
2014-02-25, 107, 211, 65, 0, 0, 28, 19, 0, 0, 0, 1
2014-02-26, 24, 59, 22, 0, 0, 20, 34, 0, 0, 0, 1
2014-02-27, 61, 127, 40, 0, 0, 19, 63, 0, 0, 0, 1
2014-02-28, 87, 20, 62, 0, 0, 11, 10, 0, 0, 0, 1
2014-03-01, 95, 58, 40, 0, 0, 7, 24, 0, 0, 0, 1
2014-03-02, 71, 55, 96, 0, 0, 0, 32, 0, 0, 0, 1
2014-03-03, 22, 58, 67, 0, 0, 25, 28, 0, 0, 0, 1
2014-03-04, 91, 41, 64, 0, 0, 62, 54, 0, 0, 0, 1
2014-03-05, 33, 47, 21, 0, 0, 29, 19, 0, 0, 0, 1
2014-03-06, 30, 47, 32, 0, 0, 42, 128, 0, 0, 0, 1
2014-03-07, 27, 26, 33, 0, 0, 1, 30, 0, 0, 0, 1
2014-03-08, 41, 36, 46, 0, 0, 0, 34, 0, 0, 0, 1
2014-03-09, 137, 100, 58, 0, 0, 35, 58, 0, 0, 0, 1
2014-03-10, 137, 57, 73, 0, 0, 67, 84, 0, 0, 0, 1
2014-03-11, 146, 29, 75, 0, 0, 39, 149, 0, 0, 0, 1
2014-03-12, 4, 30, 28, 0, 0, 4, 4, 0, 0, 0, 1
2014-03-13, 37, 76, 46, 0, 0, 19, 22, 0, 0, 0, 1
2014-03-14, 40, 33, 50, 0, 0, 5, 21, 0, 0, 0, 1
2014-03-15, 66, 32, 50, 0, 0, 1, 45, 0, 0, 0, 0
2014-03-16, 150, 7, 29, 0, 0, 0, 6, 0, 0, 0, 0
2014-03-17, 176, 62, 142, 0, 0, 0, 18, 0, 0, 0, 0
2014-03-18, 72, 86, 157, 0, 0, 5, 9, 0, 0, 0, 0
2014-03-19, 31, 62, 58, 0, 0, 3, 20, 0, 0, 0, 0
2014-03-20, 31, 7, 49, 0, 0, 0, 0, 0, 0, 0, 0
2014-04-18, 18, 13, 12, 0, 0, 2, 0, 0, 0, 0, 0
2014-04-19, 18, 13, 59, 0, 0, 0, 1, 0, 0, 0, 0
2014-04-20, 58, 36, 63, 0, 0, 0, 9, 0, 0, 0, 0
2014-04-21, 61, 100, 122, 0, 0, 0, 1, 0, 0, 0, 0
2014-04-22, 48, 76, 54, 0, 0, 0, 93, 0, 0, 0, 1
2014-04-23, 63, 61, 50, 0, 0, 0, 2, 0, 0, 0, 1
2014-04-24, 66, 62, 59, 0, 0, 4, 13, 0, 0, 0, 1
2014-04-25, 149, 61, 127, 0, 0, 0, 1, 0, 0, 0, 1
2014-04-26, 56, 24, 49, 0, 0, 0, 8, 0, 0, 0, 1
2014-04-27, 95, 30, 54, 0, 0, 0, 1, 0, 0, 0, 1
2014-04-28, 91, 22, 64, 0, 0, 0, 5, 0, 0, 0, 1
2014-04-29, 50, 30, 89, 0, 0, 0, 16, 0, 0, 0, 1
2014-04-30, 94, 98, 73, 0, 0, 0, 14, 0, 0, 0, 1
2014-05-01, 64, 73, 110, 0, 0, 0, 13, 0, 0, 0, 1
2014-05-02, 51, 80, 120, 0, 0, 0, 21, 0, 0, 0, 1
2014-05-03, 82, 75, 17, 0, 0, 1, 3, 0, 0, 0, 1
2014-05-04, 112, 80, 46, 0, 0, 0, 0, 0, 0, 0, 1
2014-05-05, 91, 66, 82, 0, 0, 38, 9, 0, 0, 0, 1
2014-05-06, 40, 78, 72, 0, 0, 3, 3, 0, 0, 0, 1
2014-05-07, 75, 44, 46, 0, 0, 20, 11, 0, 0, 0, 1
2014-05-08, 173, 160, 199, 0, 0, 6, 54, 0, 0, 0, 1
2014-05-09, 90, 82, 105, 0, 0, 0, 4, 0, 0, 0, 1
2014-05-10, 140, 0, 69, 0, 0, 15, 15, 0, 0, 0, 1
2014-05-11, 72, 94, 59, 0, 0, 3, 2, 0, 0, 0, 1
2014-05-12, 117, 93, 67, 0, 0, 0, 7, 0, 0, 0, 1
2014-05-13, 149, 139, 35, 0, 0, 0, 12, 0, 0, 0, 1
2014-05-14, 98, 131, 73, 0, 0, 0, 0, 0, 0, 0, 1
2014-05-15, 86, 106, 58, 0, 0, 0, 0, 0, 0, 0, 1
2014-05-16, 130, 61, 87, 0, 0, 1, 10, 0, 0, 0, 1
2014-05-17, 171, 93, 129, 0, 0, 15, 2, 0, 0, 0, 1
2014-05-18, 136, 196, 166, 0, 0, 5, 73, 0, 0, 0, 1
2014-05-19, 229, 192, 166, 0, 0, 21, 73, 0, 0, 0, 1
2014-05-20, 77, 65, 103, 0, 0, 24, 29, 0, 0, 0, 1
2014-05-21, 110, 246, 88, 0, 0, 63, 22, 0, 0, 0, 1
2014-05-22, 125, 229, 112, 0, 0, 14, 43, 0, 0, 0, 1
2014-05-23, 86, 165, 84, 0, 0, 15, 2, 0, 0, 0, 1
2014-05-24, 106, 108, 64, 0, 0, 71, 50, 0, 0, 0, 1
2014-05-25, 61, 164, 59, 0, 0, 22, 14, 0, 0, 0, 1
2014-05-26, 50, 95, 129, 0, 0, 24, 16, 0, 0, 0, 1
2014-05-27, 69, 67, 23, 0, 0, 13, 10, 0, 0, 0, 1
2014-05-28, 17, 66, 12, 0, 0, 22, 39, 0, 0, 0, 1
2014-05-29, 135, 112, 26, 0, 0, 44, 94, 0, 0, 0, 1
2014-05-30, 106, 87, 60, 0, 0, 38, 129, 0, 0, 0, 1
2014-05-31, 74, 43, 101, 0, 0, 42, 30, 0, 0, 0, 1
2014-06-01, 63, 159, 23, 0, 0, 29, 10, 0, 0, 0, 1
2014-06-02, 99, 157, 159, 0, 0, 60, 57, 0, 0, 0, 1
2014-06-03, 98, 124, 132, 0, 0, 47, 29, 0, 0, 0, 1
2014-06-04, 30, 91, 0, 0, 0, 15, 21, 0, 0, 0, 1
2014-06-05, 25, 80, 0, 0, 0, 2, 4, 0, 0, 0, 1
2014-06-06, 25, 125, 104, 0, 0, 1, 15, 0, 0, 0, 1
2014-06-07, 72, 69, 66, 0, 0, 0, 2, 0, 0, 0, 1
2014-06-08, 39, 53, 6, 0, 0, 0, 6, 0, 0, 0, 1
2014-06-09, 51, 66, 12, 0, 0, 0, 1, 0, 0, 0, 1
2014-06-10, 92, 92, 16, 0, 0, 2, 14, 0, 0, 0, 1
2014-06-11, 36, 106, 54, 0, 0, 0, 17, 0, 0, 0, 1
2014-06-12, 56, 80, 63, 0, 0, 0, 8, 0, 0, 0, 1
2014-06-13, 46, 24, 0, 0, 0, 33, 82, 0, 0, 0, 1
2014-06-14, 80, 87, 97, 0, 0, 0, 15, 0, 0, 0, 1
2014-06-15, 49, 99, 165, 0, 0, 0, 54, 0, 0, 0, 1
2014-06-16, 58, 168, 66, 0, 0, 0, 47, 0, 0, 0, 1
2014-06-17, 41, 47, 33, 0, 0, 6, 46, 0, 0, 0, 1
2014-06-18, 65, 45, 29, 0, 0, 13, 17, 0, 0, 0, 1
2014-06-19, 14, 66, 46, 0, 0, 1, 4, 0, 0, 0, 1
2014-06-20, 77, 88, 4, 0, 0, 5, 3, 0, 0, 0, 1
2014-06-21, 24, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1
2014-06-22, 10, 58, 17, 0, 0, 0, 1, 0, 0, 0, 1
2014-06-23, 49, 40, 107, 0, 0, 3, 24, 0, 0, 0, 1
2014-06-24, 50, 63, 30, 0, 0, 9, 12, 0, 0, 0, 1
2014-06-25, 43, 120, 48, 0, 0, 2, 9, 0, 0, 0, 1
2014-06-26, 39, 10, 26, 0, 0, 2, 0, 0, 0, 0, 1
2014-07-02, 43, 30, 56, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-03, 54, 118, 67, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-04, 53, 44, 79, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-05, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-06, 22, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-25, 51, 6, 17, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-26, 91, 57, 10, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-27, 101, 37, 40, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-28, 46, 30, 19, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-29, 26, 25, 15, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-30, 64, 23, 54, 0, 0, 0, 0, 0, 0, 0, 0
2014-07-31, 29, 32, 21, 0, 0, 0, 0, 0, 0, 0, 0
2014-08-01, 48, 19, 19, 0, 0, 4, 0, 0, 0, 0, 0
2014-08-02, 39, 81, 41, 0, 0, 0, 9, 0, 0, 0, 0
2014-08-03, 71, 31, 9, 0, 0, 0, 2, 0, 0, 0, 0
2014-08-04, 51, 33, 16, 0, 0, 0, 0, 0, 0, 0, 0
2014-08-05, 55, 24, 34, 0, 0, 0, 0, 0, 0, 0, 0
2014-08-06, 16, 31, 8, 0, 0, 0, 2, 0, 0, 0, 0
2014-08-09, 17, 55, 0, 0, 0, 0, 9, 0, 0, 0, 0
2014-08-10, 11, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0
2014-10-23, 43, 24, 0, 0, 28, 2, 13, 0, 0, 12, 1
2014-10-24, 88, 57, 10, 0, 35, 19, 43, 0, 0, 0, 1
2014-10-25, 88, 15, 0, 0, 18, 10, 19, 0, 0, 0, 1
